APP,CATEGORY,DESCRIPTION,AUTH_METHODS,AUTH_EVIDENCE,ACCESS_MODEL,ACCESS_NOTES,ACCESS_EVIDENCE,API_TYPES,API_BREADTH,API_NOTES,API_EVIDENCE,MCP_STATUS,MCP_EVIDENCE,BUILDABILITY,MAIN_BLOCKER,CONFIDENCE,NEEDS_HUMAN_REVIEW,REVIEW_FLAGS,SOURCES,PIPELINE_VERSION,RESEARCH_DATE
Pipedrive,CRM and Sales,"Pipedrive is a sales-pipeline CRM with a REST API for deals, contacts, activities, and pipeline data.",API_KEY; OAUTH2,https://pipedrive.readme.io/docs/core-api-concepts-authentication,SELF_SERVE_FREE,"A personal API token is available directly from account settings for any Pipedrive user/trial account -- no separate approval. OAuth apps go through Pipedrive's developer program for multi-customer distribution, still self-serve.",https://pipedrive.readme.io/docs/core-api-concepts-authentication,REST,BROAD,"Full CRM object model: deals, persons, organizations, activities, pipelines, products.",https://developers.pipedrive.com/docs/api/v1,OFFICIAL,https://www.pipedrive.com/en/features/mcp-server,READY,,MEDIUM,TRUE,SOURCE_NOT_VERIFIED,https://pipedrive.readme.io/docs/core-api-concepts-authentication; https://www.pipedrive.com/en/features/mcp-server; https://developers.pipedrive.com/docs/api/v1,v2,2026-09-16
PitchBook,Finance and Fintech,PitchBook is a private-market financial data provider offering a Company Data API for on-demand market and deal data.,UNCLEAR,https://pitchbook.com/products/direct-access-data/api,CONTACT_SALES,"The official product page emphasizes 'Request Direct Data' and having PitchBook's team 'work with you'; no self-serve signup or public pricing/API-key flow is documented, consistent with a subscription/data-license-gated product.",https://pitchbook.com/products/direct-access-data/api,REST,UNCLEAR,Described only as JSON-based and 'system agnostic'; no public endpoint reference or breadth detail found without a data license.,https://pitchbook.com/products/direct-access-data/api,OFFICIAL,https://premium.mcp.pitchbook.com/mcp; https://mcpservers.org/remote-mcp-servers/pitchbook,GATED,Requires a PitchBook data subscription/sales engagement; no public self-serve signup or API key flow.,LOW,TRUE,API_UNCLEAR; AUTH_UNCLEAR; LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://pitchbook.com/products/direct-access-data/api; https://mcpservers.org/remote-mcp-servers/pitchbook,v2,2026-09-16
Plaid,Finance and Fintech,"Plaid is a financial data API connecting apps to users' bank accounts, covering payments, transactions, identity, and credit underwriting.",API_KEY,https://plaid.com/docs/api/,SELF_SERVE_TRIAL,Developers self-serve create a Dashboard account and immediately get Sandbox/Development API keys (client_id/secret). Production API access requires explicitly requesting approval via the Dashboard before using real bank data.,https://plaid.com/docs/api/,REST,BROAD,"Payments/transfers, transactions, investments, liabilities, identity/KYC, fraud monitoring, and credit/income underwriting endpoints.",https://plaid.com/docs/api/,OFFICIAL,https://plaid.com/docs/resources/mcp/; https://plaid.com/blog/plaid-mcp-ai-assistant-claude/,FEASIBLE_WITH_SETUP,Production access requires a separate approval request beyond initial signup.,LOW,TRUE,CONDITIONAL_ACCESS; LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://plaid.com/docs/api/; https://plaid.com/docs/resources/mcp/,v2,2026-09-16
Plain,Support and Helpdesk,"Plain is a modern B2B customer support platform with a GraphQL API for threads, customers, and tiers.",API_KEY,https://www.plain.com/docs/graphql/authentication,SELF_SERVE_FREE,"GraphQL API with documented authentication guide, no gating found.",https://www.plain.com/docs/graphql/authentication,GRAPHQL,MODERATE,"GraphQL-only surface for threads/tickets, customers, and support tiers.",https://www.plain.com/docs/graphql/authentication,UNCLEAR,,READY,,LOW,TRUE,LOW_CONFIDENCE; SOURCE_NOT_VERIFIED,https://www.plain.com/docs/graphql/authentication,v2,2026-09-16
Podio,CRM and Sales,"Podio is a customizable work-management/CRM platform with an OAuth2-based REST API for apps, items, and workspaces.",OAUTH2,https://developers.podio.com/authentication,SELF_SERVE_FREE,"Registering an application to get a Client ID/Secret is a self-serve step on the official developer site; Podio itself has a free tier for up to 5 users, though exact API-specific pricing terms were not separately confirmed.",https://developers.podio.com/authentication,REST,MODERATE,"Covers Podio's custom ""apps""/items model, workspaces, and files -- flexible but centered on Podio's own generic data model rather than a fixed CRM object set.",https://developers.podio.com/authentication,NONE_FOUND,,READY,,MEDIUM,FALSE,,https://developers.podio.com/authentication; https://developers.podio.com/doc/oauth-authorization,v2,2026-09-16
Pumble,Communications and Messaging,Pumble is a team chat app (by CAKE.com) offering an API-keys-based integration add-on for channel and messaging automation.,API_KEY,https://pumble.com/help/integrations/automation-workflow-integrations/api-keys-integration/,UNCLEAR,API access is presented as an 'API Keys integration' add-on inside Pumble's help center rather than a standalone developer platform -- it was not confirmed whether this add-on is available on the free plan or requires a paid plan.,https://pumble.com/pricing,REST,NARROW,Documentation found is limited to the API-keys integration help article rather than a full endpoint reference; breadth likely narrow (channel/message actions) but not fully confirmed.,https://pumble.com/help/integrations/automation-workflow-integrations/api-keys-integration/,COMMUNITY,https://github.com/apet97/pumble-python-sdk,NEEDS_REVIEW,Official developer documentation is thin (help-center article only); access-tier and full API breadth not confirmed.,LOW,TRUE,ACCESS_UNCLEAR; API_UNCLEAR; CONDITIONAL_ACCESS; LOW_CONFIDENCE; SOURCE_NOT_VERIFIED,https://pumble.com/help/integrations/automation-workflow-integrations/api-keys-integration/; https://github.com/apet97/pumble-python-sdk,v2,2026-09-16
Pylon,Support and Helpdesk,"Pylon (usepylon.com) is a B2B customer support/customer-ops platform unifying Slack, Teams, email, and chat into one ticketing system with a REST API.",API_KEY,https://docs.usepylon.com/pylon-docs/developer/api/authentication,SELF_SERVE_FREE,Documented REST API at api.usepylon.com with self-serve key generation described in official docs.,https://docs.usepylon.com/pylon-docs/developer/api/authentication,REST,MODERATE,"Knowledge base, accounts, contacts, and teams endpoints documented.",https://docs.usepylon.com/pylon-docs/developer/api/api-reference/accounts,OFFICIAL,https://docs.usepylon.com/pylon-docs/integrations/pylon-mcp; https://support.usepylon.com/articles/2407390554-connecting-to-the-pylon-mcp-server,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://docs.usepylon.com/pylon-docs/developer/api/authentication; https://docs.usepylon.com/pylon-docs/integrations/pylon-mcp,v2,2026-09-16
QuickBooks,Finance and Fintech,"QuickBooks Online is Intuit's accounting platform with a REST API for invoices, customers, payments, and accounting data.",OAUTH2,https://developer.intuit.com/app/developer/qbo/docs/get-started,SELF_SERVE_TRIAL,"Developers self-serve create an Intuit developer account and get Sandbox OAuth2 credentials immediately, but multiple independent third-party integration guides (Codat's 'QBO app assessment questionnaire', Zuplo, Satva Solutions) describe a required app assessment/production review before an app can access real customer data. The official Intuit developer pages render via JavaScript and could not be directly fetched to confirm this firsthand.",https://docs.codat.io/integrations/accounting/quickbooksonline/qbo-app-assessment-questionnaire/; https://developer.intuit.com/app/developer/qbo/docs/get-started,REST,BROAD,"Invoices, customers, vendors, payments, items, and general accounting/reporting entities.",https://developer.intuit.com/app/developer/qbo/docs/get-started,OFFICIAL,https://github.com/intuit/quickbooks-online-mcp-server,FEASIBLE_WITH_SETUP,Production access to real customer data requires an app assessment/review process beyond initial sandbox signup.,LOW,TRUE,CONDITIONAL_ACCESS; LOW_CONFIDENCE; MCP_UNVERIFIED; NO_OFFICIAL_SOURCE; SOURCE_NOT_VERIFIED,https://github.com/intuit/quickbooks-online-mcp-server; https://docs.codat.io/integrations/accounting/quickbooksonline/qbo-app-assessment-questionnaire/,v2,2026-09-16
Ramp,Finance and Fintech,"Ramp is a corporate card and spend-management platform with a REST API using OAuth2 client credentials for transactions, cards, and bill pay.",OAUTH2,https://support.ramp.com/accessing-the-developer-api,SELF_SERVE_FREE,Any Ramp account admin can self-serve create a developer app and OAuth2 client-credentials for their own organization's data. Building an app that connects to other Ramp businesses (ISV/partner distribution) requires a separate 'production access' application and Ramp approval.,https://support.ramp.com/accessing-the-developer-api,REST,MODERATE,"Transactions, cards, bill pay, and reimbursements, scoped via OAuth2 scopes; additional scopes available on request via support ticket.",https://support.ramp.com/accessing-the-developer-api,OFFICIAL,https://github.com/ramp-public/ramp_mcp; https://www.pulsemcp.com/servers/ramp,READY,,LOW,TRUE,CONDITIONAL_ACCESS; LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://support.ramp.com/accessing-the-developer-api; https://github.com/ramp-public/ramp_mcp,v2,2026-09-16
Reducto,AI Research and Media-native,"Reducto is an agentic document-understanding API for parsing, extracting, splitting, and editing PDFs and documents.",API_KEY,https://docs.reducto.ai/quickstart,SELF_SERVE_FREE,"Developers sign up for a free account at studio.reducto.ai and generate an API key immediately from the dashboard, with no manual approval step.",https://docs.reducto.ai/quickstart,REST,MODERATE,"Parse, extract (schema-based field extraction), split, edit, classify, and async parse with webhooks; SDKs available in Python, Node.js, and Go.",https://docs.reducto.ai/quickstart,OFFICIAL,https://docs.reducto.ai/mcp-server; https://github.com/reductoai/mcp-server-reducto,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://docs.reducto.ai/quickstart; https://docs.reducto.ai/mcp-server,v2,2026-09-16
Salesforce Commerce Cloud,Ecommerce,Salesforce B2C Commerce (Commerce Cloud) is an enterprise ecommerce platform with the Shopper/Commerce APIs (SCAPI) and the legacy Open Commerce API.,OAUTH2,https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization.html,CONTACT_SALES,"Unlike core Salesforce CRM, B2C Commerce has no free Developer Edition -- an API Client ID must be provisioned inside an existing Commerce Cloud instance (Account Manager), which requires being a paying B2C Commerce customer. This is an enterprise ecommerce product sold through Salesforce sales, not self-serve signup.",https://help.salesforce.com/s/articleView?id=cc.b2c_account_manager_add_api_client_id.htm&language=en_US&type=5,REST,BROAD,"Shopper Commerce API (SCAPI) covers products, baskets, orders, customers; the older Open Commerce API (OCAPI) is being deprecated in favor of it.",https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization.html,NONE_FOUND,,GATED,No public self-serve trial; requires an existing paid B2C Commerce Cloud org.,MEDIUM,TRUE,SOURCE_NOT_VERIFIED,https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization.html; https://help.salesforce.com/s/articleView?id=cc.b2c_account_manager_add_api_client_id.htm&language=en_US&type=5,v2,2026-09-16
Salesforce,CRM and Sales,"Salesforce is a cloud CRM platform for managing sales, service, and marketing data, with a broad set of APIs for reading and writing org data.",OAUTH2,https://developer.salesforce.com/docs/platform/connect-rest-api/guide/quickstart_dev_org.html; https://developer.salesforce.com/docs/platform/hosted-mcp-servers/guide/hosted-mcp-servers-overview.html,SELF_SERVE_FREE,"A free Developer Edition org (developer.salesforce.com/signup) gives immediate REST/SOAP/Bulk API access for building and testing, no approval needed. Caveat: for an existing production org, API access depends on the org's purchased edition (e.g. some lower editions require an add-on for API access) -- this is an org-level licensing detail, not a Composio integration blocker, since Developer Edition itself is unrestricted.",https://developer.salesforce.com/docs/platform/connect-rest-api/guide/quickstart_dev_org.html,REST; OTHER,BROAD,"REST API is the primary surface; OTHER covers SOAP API, Bulk API, Streaming/Pub-Sub API, Metadata API and Tooling API, which together reach essentially the full CRM object model (records, custom objects, Apex actions, Flows). Correction from an earlier draft that mis-tagged this as SDK_ONLY -- client libraries are convenience wrappers, not a separate access surface.",https://developer.salesforce.com/docs/platform/connect-rest-api/guide/quickstart_dev_org.html,OFFICIAL,https://developer.salesforce.com/docs/platform/hosted-mcp-servers/guide/hosted-mcp-servers-overview.html; https://developer.salesforce.com/blogs/2026/04/salesforce-hosted-mcp-servers-are-now-generally-available,READY,,MEDIUM,FALSE,CONDITIONAL_ACCESS,https://developer.salesforce.com/docs/platform/connect-rest-api/guide/quickstart_dev_org.html; https://developer.salesforce.com/docs/platform/hosted-mcp-servers/guide/hosted-mcp-servers-overview.html; https://developer.salesforce.com/blogs/2026/04/salesforce-hosted-mcp-servers-are-now-generally-available,v2,2026-09-16
SE Ranking,Data SEO and Scraping,"SE Ranking is an SEO/rank-tracking platform with a REST API for keyword, project, and data-source endpoints.",API_KEY,https://seranking.com/api/how-to-get-api/,PAID,API access is tied to an SE Ranking subscription plan per the official 'Getting API access' guide; not a free-standing free tier.,https://seranking.com/api/how-to-get-api/,REST,MODERATE,Data API (keyword/SERP/domain metrics) and Project API (rank-tracking project management) as separate documented products.,https://seranking.com/api/data/getting-started/,OFFICIAL,https://seranking.com/api/integrations/mcp/,FEASIBLE_WITH_SETUP,Requires a paid SE Ranking subscription for API access.,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://seranking.com/api/how-to-get-api/; https://seranking.com/api/integrations/mcp/,v2,2026-09-16
SendGrid,Marketing Ads Email and Social,SendGrid (a Twilio product) is a transactional/marketing email platform with a REST API for sending mail and managing templates/stats.,API_KEY,https://www.twilio.com/docs/sendgrid/ui/account-and-settings/api-keys,SELF_SERVE_FREE,API keys with scoped permissions are self-generated from account settings; free tier available.,https://www.twilio.com/docs/sendgrid/ui/account-and-settings/api-keys,REST,MODERATE,"Mail send, templates, stats/analytics, contacts.",https://www.twilio.com/docs/sendgrid/for-developers/sending-email/authentication,NONE_FOUND,https://www.usecarly.com/blog/sendgrid-mcp/,READY,,MEDIUM,TRUE,SOURCE_NOT_VERIFIED,https://www.twilio.com/docs/sendgrid/ui/account-and-settings/api-keys; https://www.twilio.com/docs/sendgrid/for-developers/sending-email/authentication,v2,2026-09-16
Sentry,Developer Infra and Data Platforms,"Sentry is an application error-tracking/observability platform with a REST API for issues, events, and projects.",TOKEN; OAUTH2,https://docs.sentry.io/api/auth/,SELF_SERVE_FREE,Auth tokens are self-generated from account settings; Sentry has a free developer tier.,https://docs.sentry.io/api/auth/,REST,BROAD,"Issues, events, projects, releases, and performance/tracing data.",https://docs.sentry.io/api/,OFFICIAL,https://docs.sentry.io/ai/mcp/,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://docs.sentry.io/api/auth/; https://docs.sentry.io/ai/mcp/,v2,2026-09-16
Sherlock,Data SEO and Scraping,Sherlock is an open-source command-line tool that hunts for social media accounts registered under a given username across 400+ sites.,NONE_FOUND,https://github.com/sherlock-project/sherlock,SELF_SERVE_FREE,"Not a hosted service with a signup/access process at all -- it is an MIT-licensed CLI tool installed locally via pip/pipx/Docker. There is no vendor account, no API key, no rate-gated backend. 'Self-serve free' here means 'freely installable,' not 'self-serve API access,' which is why this record is routed to human review rather than auto-approved as READY.",https://github.com/sherlock-project/sherlock,CLI,NARROW,"Single-purpose tool: given a username, checks 400+ sites for a matching registered account and prints/saves results. No other capabilities.",https://github.com/sherlock-project/sherlock,COMMUNITY,https://github.com/Burnsedia/sherlock-mcp; https://apify.com/jungle_synthesizer/sherlock-scraper/api/mcp,NEEDS_REVIEW,"Not a company-backed API at all -- it's a locally-run open-source CLI with no vendor, no account model, and no company to partner with. A toolkit is technically possible (wrap the CLI/Docker image as a tool), but this doesn't fit Composio's usual 'call a vendor's API on a user's behalf' integration model, so a human should decide whether a CLI-wrapper toolkit is in scope before building it.",LOW,TRUE,ACCESS_UNCLEAR; LOW_CONFIDENCE; NON_STANDARD_INTEGRATION_MODEL,https://github.com/sherlock-project/sherlock; https://github.com/Burnsedia/sherlock-mcp,v2,2026-09-16
Shopify,Ecommerce,"Shopify is an ecommerce platform with Admin, Storefront, and several agent-facing MCP APIs for products, orders, carts, and checkout.",OAUTH2; TOKEN,https://shopify.dev/docs/api/usage/authentication; https://shopify.dev/docs/apps/auth/oauth/getting-started,SELF_SERVE_FREE,"Custom app access tokens are self-serve from any store admin; public-app OAuth distribution goes through the Shopify Partner program, also free to join.",https://shopify.dev/docs/apps/build/authentication-authorization/access-tokens/generate-app-access-tokens-admin,REST; GRAPHQL,BROAD,"Admin API (products, orders, customers, inventory) plus a growing family of agent-specific MCP servers (Storefront, Cart, Checkout, Customer Accounts) -- one of the most AI-agent-forward ecommerce platforms researched.",https://shopify.dev/docs/apps/build/storefront-mcp,OFFICIAL,https://shopify.dev/docs/apps/build/storefront-mcp; https://shopify.dev/docs/agents/carts-and-checkout/checkout-mcp,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://shopify.dev/docs/api/usage/authentication; https://shopify.dev/docs/apps/build/storefront-mcp,v2,2026-09-16
Slack,Communications and Messaging,"Slack is a team messaging platform with a REST API (Web API) for messages, channels, and users, plus a Developer Program for building apps.",OAUTH2; TOKEN,https://api.slack.com/authentication; https://api.slack.com/authentication/token-types,SELF_SERVE_FREE,"Creating a Slack app and generating tokens is self-serve via api.slack.com/developer-program, free for a workspace's own use; distributing an app publicly goes through app review.",https://api.slack.com/developer-program,REST,BROAD,"Messages, channels, users, files, and a large events/interactivity surface.",https://api.slack.com/types,UNCLEAR,https://www.pulsemcp.com/servers/slack,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://api.slack.com/authentication; https://api.slack.com/developer-program,v2,2026-09-16
Smartsheet,Productivity and Project Management,"Smartsheet is a spreadsheet-based work-management platform with a REST API for sheets, rows, and reports.",TOKEN; OAUTH2,https://developers.smartsheet.com/api/smartsheet/guides/basics/authentication,SELF_SERVE_FREE,API access tokens are self-generated from account settings; OAuth also documented for app developers.,https://help.smartsheet.com/articles/2482389-generate-API-key,REST,MODERATE,"Sheets, rows, columns, reports, and workspaces.",https://developers.smartsheet.com/api/smartsheet/introduction,OFFICIAL,https://github.com/smartsheet-platform/smar-mcp; https://www.smartsheet.com/marketplace/apps/conversational-ai-project-assistant-claude-mcp,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://developers.smartsheet.com/api/smartsheet/guides/basics/authentication; https://github.com/smartsheet-platform/smar-mcp,v2,2026-09-16
Snowflake,Developer Infra and Data Platforms,"Snowflake is a cloud data warehouse with SQL and REST APIs, key-pair/OAuth authentication, and Cortex AI agent tooling.",OAUTH2; OTHER,https://docs.snowflake.com/en/user-guide/key-pair-auth; https://docs.snowflake.com/en/user-guide/oauth-intro,SELF_SERVE_TRIAL,"Free trial account with credits is self-serve; ongoing usage is consumption-priced (compute/storage credits), so sustained use requires a paid account.",https://docs.snowflake.com/en/user-guide/security-authentication-overview,REST; OTHER,BROAD,"SQL API, key-pair/OAuth-authenticated REST endpoints, and Cortex AI/agent-specific APIs; OTHER reflects key-pair (JWT-based) auth alongside OAuth.",https://docs.snowflake.com/en/developer-guide/snowflake-rest-api/authentication,OFFICIAL,https://github.com/Snowflake-Labs/mcp; https://www.snowflake.com/en/blog/managed-mcp-servers-secure-data-agents/,READY,,LOW,TRUE,CONDITIONAL_ACCESS; LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://docs.snowflake.com/en/user-guide/key-pair-auth; https://www.snowflake.com/en/blog/managed-mcp-servers-secure-data-agents/,v2,2026-09-16
Squarespace,Ecommerce,"Squarespace is a website/ecommerce builder with Commerce APIs for orders, products, and inventory.",API_KEY; OAUTH2,https://developers.squarespace.com/commerce-apis/authentication-and-permissions; https://support.squarespace.com/hc/en-us/articles/236297987-Squarespace-API-keys,SELF_SERVE_FREE,"API keys are generated from account settings; a note in third-party sources mentions 'API access developer mode not available' in some cases, suggesting Commerce API access may require a specific Squarespace Commerce plan tier -- not fully confirmed from official docs.",https://support.squarespace.com/hc/en-us/articles/236297987-Squarespace-API-keys,REST,MODERATE,"Orders, products, inventory, and website content APIs.",https://developers.squarespace.com/commerce-apis/websites,COMMUNITY,https://github.com/BusyBee3333/squarespace-mcp-2026-complete,FEASIBLE_WITH_SETUP,"Possible plan-tier dependency for Commerce API access, not fully confirmed.",LOW,TRUE,ACCESS_UNCLEAR; CONDITIONAL_ACCESS; LOW_CONFIDENCE; SOURCE_NOT_VERIFIED,https://developers.squarespace.com/commerce-apis/authentication-and-permissions; https://support.squarespace.com/hc/en-us/articles/236297987-Squarespace-API-keys,v2,2026-09-16
Stripe,Finance and Fintech,"Stripe is a payments and financial infrastructure platform that lets businesses accept payments, manage subscriptions, and move money programmatically.",API_KEY; OAUTH2,https://docs.stripe.com/keys; https://docs.stripe.com/mcp,SELF_SERVE_FREE,"Anyone can create a free Stripe account and immediately get sandbox/test API keys and live keys after signup; no approval gate for API access itself. Stripe charges transaction fees on live payments processed, but that is a usage fee, not a developer-access gate.",https://docs.stripe.com/keys,REST,BROAD,"REST API at api.stripe.com covering payments, customers, subscriptions, invoices, payouts, tax, issuing, connected accounts, and more. Official client libraries in 7 languages.",https://docs.stripe.com/api,OFFICIAL,https://docs.stripe.com/mcp,READY,,HIGH,FALSE,,https://docs.stripe.com/api; https://docs.stripe.com/keys; https://docs.stripe.com/mcp,v2,2026-09-16
Supabase,Developer Infra and Data Platforms,Supabase is an open-source Postgres-based backend-as-a-service with REST/GraphQL APIs (auto-generated) plus a Management API.,API_KEY; OAUTH2,https://supabase.com/docs/guides/getting-started/api-keys,SELF_SERVE_FREE,"Project API keys are available immediately on project creation, free tier included; Management API uses OAuth2 for third-party integrations.",https://supabase.com/docs/guides/getting-started/api-keys,REST; GRAPHQL,BROAD,"Auto-generated REST/GraphQL over the Postgres schema, plus Auth, Storage, and a Management API for provisioning projects.",https://supabase.com/docs/reference/api/introduction,OFFICIAL,https://supabase.com/docs/guides/ai-tools/mcp; https://supabase.com/blog/remote-mcp-server,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://supabase.com/docs/guides/getting-started/api-keys; https://supabase.com/docs/guides/ai-tools/mcp,v2,2026-09-16
systeme.io,Marketing Ads Email and Social,"systeme.io is an all-in-one funnel/course/email-marketing platform for solopreneurs, with a public REST API.",API_KEY,https://help.systeme.io/article/2323-how-to-create-a-public-api-key-on-systeme-io,SELF_SERVE_FREE,Public API key is created directly from account settings per the official help article; systeme.io has a free plan.,https://help.systeme.io/article/2323-how-to-create-a-public-api-key-on-systeme-io,REST,NARROW,"A third-party review (thatmarketingbuddy.com) independently rated this API's agent-readiness 5/10, consistent with a smaller, less mature API surface than category leaders like Mailchimp/Klaviyo -- treated as a directional signal, not the classification basis.",https://developer.systeme.io/reference/api,COMMUNITY,https://mcpservers.org/servers/snzeeee/mcp-server-systemeio,READY,,LOW,TRUE,API_UNCLEAR; LOW_CONFIDENCE; SOURCE_NOT_VERIFIED,https://help.systeme.io/article/2323-how-to-create-a-public-api-key-on-systeme-io; https://developer.systeme.io/reference/api,v2,2026-09-16
Telegram,Communications and Messaging,"Telegram is a messaging app; the Bot API lets developers build bots that send/receive messages, and a separate Client API exists for full account automation.",TOKEN,https://core.telegram.org/bots,SELF_SERVE_FREE,"Any user can create a bot and get a token instantly via @BotFather, entirely free and self-serve, per official docs.",https://core.telegram.org/bots/tutorial,REST,MODERATE,"Bot API covers sending/receiving messages, media, inline keyboards, and channel/group management -- broad for a bot-scoped interface, but bots cannot do everything a full user account can (that requires the separate MTProto Client API).",https://core.telegram.org/bots/api,UNCLEAR,,READY,,MEDIUM,TRUE,SOURCE_NOT_VERIFIED,https://core.telegram.org/bots; https://core.telegram.org/bots/api,v2,2026-09-16
Threads (Meta),Marketing Ads Email and Social,"The Threads API lets developers publish posts and read basic insights for a Threads account, built on Meta's Graph API pattern.",OAUTH2; TOKEN,https://developers.facebook.com/docs/threads/get-started/get-access-tokens-and-permissions/,SELF_SERVE_TRIAL,"Dev/test access to your own account is self-serve through a Meta developer app; broader access likely follows the same Meta App Review pattern as WhatsApp/Meta Ads in this dataset, not independently re-confirmed here.",https://developers.facebook.com/docs/threads/get-started/,REST,NARROW,"Publishing (text/image/video posts), replies, and basic insights -- a narrower surface than the established Graph API products.",https://developers.facebook.com/docs/threads/overview,COMMUNITY,https://github.com/mikusnuz/meta-mcp; https://github.com/tttn13/threads-mcp,FEASIBLE_WITH_SETUP,Same Meta App Review uncertainty noted for WhatsApp Business and Meta Ads applies here.,LOW,TRUE,ACCESS_UNCLEAR; CONDITIONAL_ACCESS; LOW_CONFIDENCE; SOURCE_NOT_VERIFIED,https://developers.facebook.com/docs/threads/get-started/get-access-tokens-and-permissions/; https://developers.facebook.com/docs/threads/overview,v2,2026-09-16
Twenty,CRM and Sales,"Twenty is an open-source CRM with REST and GraphQL APIs, positioned as a modern, self-hostable alternative to Salesforce.",OAUTH2,https://docs.twenty.com/developers/introduction,SELF_SERVE_FREE,Open source and self-hostable at no cost; a hosted cloud version also exists. API/developer docs are public with no gating found.,https://docs.twenty.com/developers/introduction,REST; GRAPHQL,MODERATE,"REST and GraphQL APIs plus webhooks, covering the core CRM object model (people, companies, opportunities, tasks, notes).",https://docs.twenty.com/developers/introduction,COMMUNITY,https://github.com/mhenry3164/twenty-crm-mcp-server; https://github.com/jezweb/twenty-mcp,READY,,MEDIUM,FALSE,,https://docs.twenty.com/developers/introduction; https://github.com/twentyhq/twenty,v2,2026-09-16
Twilio,Communications and Messaging,"Twilio is a programmable communications platform (SMS, voice, video, email) with a broad REST API.",API_KEY; TOKEN,https://www.twilio.com/docs/iam/api-keys,SELF_SERVE_FREE,Free trial account with API keys available immediately on signup; account SID/auth token or scoped API keys both self-serve.,https://www.twilio.com/docs/iam/api,REST,BROAD,"SMS/messaging, voice, video, verify, and a large set of communications sub-products.",https://www.twilio.com/docs/iam/api,OFFICIAL,https://www.twilio.com/docs/ai/mcp,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://www.twilio.com/docs/iam/api-keys; https://www.twilio.com/docs/ai/mcp,v2,2026-09-16
Vercel,Developer Infra and Data Platforms,"Vercel is a frontend cloud/deployment platform with a REST API for projects, deployments, and domains.",TOKEN; OAUTH2,https://vercel.com/docs/rest-api/authentication/create-an-auth-token,SELF_SERVE_FREE,"Auth tokens are self-generated from account settings, free hobby tier included.",https://vercel.com/docs/accounts/access-tokens,REST,MODERATE,"Projects, deployments, domains, environment variables, and teams.",https://vercel.com/docs/rest-api,OFFICIAL,https://vercel.com/docs/agent-resources/vercel-mcp; https://vercel.com/blog/introducing-vercel-mcp-connect-vercel-to-your-ai-tools,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://vercel.com/docs/rest-api/authentication/create-an-auth-token; https://vercel.com/docs/agent-resources/vercel-mcp,v2,2026-09-16
Vonage,Communications and Messaging,"Vonage (part of Ericsson) is a communications API platform (SMS, voice, video, verify) with a broad REST API.",API_KEY; OAUTH2,https://developer.vonage.com/en/getting-started/concepts/authentication,SELF_SERVE_FREE,Self-serve signup with API key/secret shown immediately in the dashboard; free trial credit available.,https://developer.vonage.com/en/getting-started/overview,REST,BROAD,"SMS, voice, video, verify (2FA), and number management across a wide communications API suite.",https://developer.vonage.com/en/api/account,OFFICIAL,https://developer.vonage.com/en/blog/introducing-the-vonage-mcp-tooling-server; https://github.com/Vonage/vonage-mcp-server-documentation,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://developer.vonage.com/en/getting-started/concepts/authentication; https://developer.vonage.com/en/blog/introducing-the-vonage-mcp-tooling-server,v2,2026-09-16
